category,subcategory,action,sentence,response
music,playback,stop,halt music playback,playback halted
music,playbackspeed,adjustspeed,change music speed,speed adjusted
music,playbackspeed,adjustspeed,set playback speed,playback speed updated
music,playbackspeed,adjustspeed,modify music tempo,tempo changed
music,playbackspeed,check,check playback speed,current speed retrieved
music,playbackspeed,check,what's the music speed?,playback speed retrieved
music,playbackspeed,check,show playback speed,speed information shown
music,playbackspeed,resetspeed,reset music speed,speed reset to default
music,playbackspeed,resetspeed,set speed to normal,playback speed normalized
music,playbackspeed,resetspeed,restore default speed,default speed restored
music,playlist,addsong,add song to playlist,song added
music,playlist,addsong,put song in playlist,playlist updated with song
music,playlist,check,check current playlist,playlist details retrieved
music,playlist,check,show playlist contents,playlist shown
music,playlist,create,start a new playlist,playlist started
music,playlist,create,make a playlist,playlist created
music,playlist,delete,delete playlist,playlist removed
music,playlist,delete,remove playlist,playlist deleted
music,playlist,delete,erase playlist,playlist erased
music,playlist,removesong,remove song from playlist,song removed from playlist.
music,playlist,removesong,delete song from playlist,song deleted from playlist
music,playlist,removesong,take song off playlist,song removed from playlist
music,playlist,reorder,reorder playlist songs,playlist reordered
music,playlist,reorder,change playlist order,playlist order updated
music,playlist,reorder,shuffle playlist songs,playlist rearranged
music,playlist,selectplaylist,select a playlist,playlist selected
music,playlist,selectplaylist,choose playlist,playlist chosen
music,playlist,selectplaylist,switch to playlist,switched to playlist
music,playlist,shuffle,shuffle playlist,playlist shuffled
music,playlist,shuffle,randomize playlist,playlist randomized
music,playlist,shuffle,mix playlist songs,playlist mixed
music,podcast,play,play podcast,podcast playing
music,podcast,play,start podcast,podcast started
music,podcast,play,listen to podcast,podcast playback active
music,podcast,skip,next podcast episode,podcast skipped
music,podcast,skip,go to next podcast,next podcast started
music,power,turnoff,turn off music system,music system turned off
music,power,turnoff,shut down music device,music device off
music,power,turnoff,power off music,music system turned off
music,power,turnon,turn on music system,music system powered on.
music,power,turnon,start music device,music device on
music,power,turnon,power on music,music system activated
music,queue,add,add song to queue,song added to queue
music,queue,add,queue this song,song queued
music,queue,add,put song in queue,queue updated
music,queue,check,show queue status,queue shown
music,queue,clear,clear music queue,queue cleared
music,queue,clear,empty queue,queue emptied
music,queue,clear,remove all from queue,queue reset
music,radio,play,play radio,radio playing
music,radio,play,start radio station,radio started
music,schedule,cancel,cancel music schedule,schedule canceled
music,schedule,cancel,stop scheduled music,scheduled music stopped
music,schedule,cancel,remove music schedule,schedule removed
music,schedule,check,check music schedule,schedule details retrieved
music,schedule,check,show music schedule,schedule shown
music,schedule,check,what's the music schedule?,schedule retrieved
music,schedule,play,play scheduled music,music schedule started
music,schedule,play,start music schedule,schedule activated
music,schedule,stop,stop scheduled music,scheduled music stopped
music,schedule,stop,halt music schedule,schedule halted
music,schedule,stop,end music schedule,schedule ended
music,sleeptimer,check,check sleep timer status,sleep timer details shown
music,sleeptimer,check,what's the sleep timer?,sleep timer status retrieved
music,sleeptimer,check,show sleep timer,sleep timer retrieved
music,sleeptimer,set,set sleep timer,sleep timer set
music,sleeptimer,set,activate sleep timer,sleep timer activated
music,song,check,check current song,song details retrieved
music,song,check,what's the current song?,song information shown
music,song,play,play this song,song playing
music,song,play,start this song,song started
music,source,check,check music source,source details retrieved
music,source,check,what's the current source?,source information shown
music,source,check,show music source,source retrieved
music,source,switchsource,switch music source,source switched
music,source,switchsource,change music source,source changed
music,status,check,check music status,music status retrieved
music,status,check,show music system status,status shown
music,voicecontrol,check,check voice control status,voice control is active
music,voicecontrol,check,is voice control on?,voice control status: on
music,voicecontrol,check,show voice control settings,voice control settings retrieved
music,voicecontrol,disable,disable voice control,voice control disabled
music,voicecontrol,disable,turn off voice control,voice control turned off
music,voicecontrol,disable,stop voice control,voice control stopped
music,voicecontrol,enable,enable voice control,voice control enabled
music,voicecontrol,enable,turn on voice control,voice control turn on
music,voicecontrol,enable,start voice control,voice control started
music,volume,adjustvolume,adjust music volume,volume adjusted
music,volume,check,check volume level,volume level retrieved
music,volume,check,what's the volume?,volume status shown
music,volume,check,show volume level,volume retrieved
music,volume,mute,mute music,music muted
music,volume,mute,turn off sound,sound muted
music,volume,mute,silence music,music is turned off.
music,volume,unmute,unmute music,music unmuted
music,volume,unmute,restore sound,sound restored
music,volume,unmute,turn sound back on,music sound on
camera,all,on,turn on all cameras,all cameras turn on
camera,all,on,activate all cameras,all cameras turned on
camera,all,on,start all cameras,cameras started
camera,all,on,enable all cameras,all cameras enabled
camera,all,on,power on all cameras,all cameras powered on
camera,all,on,switch on all cameras,cameras switched on
camera,all,on,turn all cameras on,all cameras on
camera,all,on,activate camera system,camera system activated
,attic,statusquery,check attic camera status,attic camera status retrieved
camera,attic,statusquery,show attic camera,attic camera status shown
camera,attic,statusquery,what's the attic camera status?,attic camera details retrieved
camera,attic,statusquery,attic camera check,status checked
camera,attic,statusquery,view attic camera,attic camera view active
camera,attic,statusquery,monitor attic camera,camera monitored
camera,attic,statusquery,display attic camera,attic camera retrieved
camera,attic,statusquery,check attic camera feed,feed checked
camera,attic,statusquery,show attic camera feed,attic feed shown
camera,attic,statusquery,attic camera status check,status retrieved
camera,attic,on,turn on attic camera,attic camera turn on
camera,attic,on,activate attic camera,attic camera turned on
camera,attic,on,start attic camera,attic camera started
camera,attic,on,enable attic camera,attic camera enabled
camera,attic,on,power on attic camera,attic camera powered on
camera,attic,on,switch on attic camera,attic camera switched on
camera,attic,on,turn attic camera on,attic camera on
camera,attic,on,activate attic camera system,attic camera system activated
camera,attic,on,start attic surveillance,surveillance started
camera,attic,on,enable attic monitoring,monitoring enabled
camera,backyard,statusquery,check backyard camera status,backyard camera status retrieved
camera,backyard,statusquery,show backyard camera,backyard camera status shown
camera,backyard,statusquery,what's the backyard camera status?,backyard camera details retrieved
camera,backyard,statusquery,backyard camera check,status checked
camera,backyard,statusquery,view backyard camera,backyard camera view active
camera,backyard,statusquery,monitor backyard camera,camera monitored
camera,backyard,on,turn on backyard camera,backyard camera turn on
camera,backyard,on,activate backyard camera,backyard camera turned on
camera,backyard,on,start backyard camera,backyard camera started
camera,backyard,on,enable backyard camera,backyard camera enabled
camera,backyard,on,power on backyard camera,backyard camera powered on
camera,backyard,on,switch on backyard camera,backyard camera switched on
camera,backyard,on,turn backcamerayard camera on,backyard camera on
camera,backyard,on,activate backyard camera system,backyard camera system activated
camera,backyard,on,start backyard surveillance,surveillance started
camera,basement,statusquery,check basement camera status,basement camera status retrieved
camera,basement,statusquery,show basement camera,basement camera status shown
camera,basement,statusquery,what's the basement camera status?,basement camera details retrieved
camera,basement,statusquery,basement camera check,status checked
camera,basement,statusquery,view basement camera,basement camera view active
camera,basement,statusquery,monitor basement camera,basement camera monitoring.
camera,basement,statusquery,display basement camera,basement camera retrieved
camera,basement,statusquery,check basement camera feed,feed checked
camera,basement,statusquery,show basement camera feed,basement feed shown
camera,basement,statusquery,basement camera status check,status retrieved
camera,basement,on,turn on bathroom basement camera,bathroom basement camera turn on
camera,basement,on,activate basement camera,basement camera turned on
camera,basement,on,start basement camera,basement camera started
camera,basement,on,enable basement camera,basement camera enabled
camera,basement,on,power on basement camera,basement camera powered on
camera,basement,on,switch on basement camera,basement camera switched on
camera,bathroom,statusquery,check bathroom camera status,bathroom camera status retrieved
camera,bathroom,statusquery,show bathroom camera,bathroom camera status shown
camera,bathroom,statusquery,what's the bathroom camera status?,bathroom camera details retrieved
camera,bathroom,statusquery,bathroom camera check,status checked
camera,bathroom,statusquery,view bathroom camera,bathroom camera view active
camera,bathroom,statusquery,monitor bathroom camera,camera monitored
camera,bathroom,statusquery,display bathroom camera,bathroom camera retrieved
camera,bathroom,statusquery,check bathroom camera feed,feed checked
camera,bathroom,statusquery,show bathroom camera feed,bathroom feed shown
camera,bathroom,on,turn on bathroom camera,bathroom camera turn on.
camera,bathroom,on,activate bathroom camera,bathroom camera turned on
camera,bathroom,on,start bathroom camera,bathroom camera started
camera,bathroom,on,enable bathroom camera,bathroom camera enabled
camera,bathroom,on,power on bathroom camera,bathroom camera powered on
camera,bathroom,on,switch on bathroom camera,bathroom camera switched on
camera,bathroom,on,turn bathroom camera on,bathroom camera on
camera,bathroom,on,activate bathroom camera system,bathroom camera system activated
camera,bathroom,on,start bathroom surveillance,surveillance started
camera,bathroom,on,enable bathroom monitoring,monitoring enabled
camera,cellar,statusquery,check cellar camera status,cellar camera status retrieved
camera,cellar,statusquery,show cellar camera,cellar camera status shown
camera,cellar,statusquery,what's the cellar camera status?,cellar camera details retrieved
camera,cellar,statusquery,cellar camera check,status checked
camera,cellar,statusquery,view cellar camera,cellar camera view active
camera,cellar,statusquery,monitor cellar camera,camera monitored
camera,cellar,statusquery,display cellar camera,cellar camera retrieved
camera,cellar,statusquery,check cellar camera feed,cellar feed status retrieved.
camera,cellar,statusquery,show cellar camera feed,cellar feed shown
camera,cellar,on,turn on cellar camera,cellar camera turn on
camera,cellar,on,activate cellar camera,cellar camera turned on
camera,cellar,on,start cellar camera,cellar camera started
camera,cellar,on,enable cellar camera,cellar camera enabled
camera,cellar,on,power on cellar camera,cellar camera powered on
camera,cellar,on,switch on cellar camera,cellar camera switched on
camera,cellar,on,turn cellar camera on,cellar camera on
camera,cellar,on,activate cellar camera system,cellar camera system activated
camera,cellar,on,start cellar surveillance,surveillance started
camera,dining room,statusquery,check dining room camera status,dining room camera status retrieved
camera,dining room,statusquery,show dining room camera,dining room camera status shown
camera,dining room,statusquery,what's the dining room camera status?,dining room camera details retrieved
camera,dining room,statusquery,dining room camera check,status checked
camera,dining room,statusquery,view dining room camera,dining room camera view active
camera,dining room,statusquery,monitor dining room camera,camera monitored
camera,dining room,statusquery,display dining room camera,dining room camera retrieved
camera,dining room,statusquery,check dining room camera feed,feed checked
camera,dining room,statusquery,show dining room camera feed,dining room feed shown
camera,dining room,statusquery,dining room camera status check,status retrieved
camera,dining room,statusquery,view dining room surveillance,surveillance view active
camera,kitchen,statusquery,check kitchen camera status,kitchen camera status retrieved
camera,kitchen,statusquery,show kitchen camera,kitchen camera status shown
camera,kitchen,statusquery,what's the kitchen camera status?,kitchen camera details retrieved
camera,kitchen,statusquery,kitchen camera check,status checked
camera,kitchen,statusquery,view kitchen camera,kitchen camera view active
camera,kitchen,statusquery,monitor kitchen camera,camera monitored
camera,kitchen,statusquery,display kitchen camera,kitchen camera retrieved
camera,kitchen,on,turn on kitchen camera,kitchen camera turn on
camera,kitchen,on,activate kitchen camera,kitchen camera turned on
camera,kitchen,on,start kitchen camera,kitchen camera started
camera,kitchen,on,enable kitchen camera,kitchen camera enabled
camera,kitchen,on,power on kitchen camera,kitchen camera powered on
camera,kitchen,on,switch on kitchen camera,kitchen camera switched on
camera,kitchen,on,turn kitchen camera on,kitchen camera on
camera,kitchen,on,activate kitchen camera system,kitchen camera system activated
camera,library,statusquery,check library camera status,library camera status retrieved
camera,library,statusquery,show library camera,library camera status shown
camera,library,statusquery,what's the library camera status?,library camera details retrieved
camera,library,statusquery,library camera check,status checked
camera,library,statusquery,view library camera,library camera view active
camera,library,statusquery,monitor library camera,library camera monitoring
camera,library,statusquery,display library camera,library camera displaying
camera,library,statusquery,check library camera feed,library camera feed checking
camera,library,statusquery,show library camera feed,library feed camera showning
camera,library,statusquery,library camera status check,status retrieved
camera,library,on,turn on library camera,library camera turn on
camera,library,on,activate library camera,library camera turned on
camera,library,on,start library camera,library camera started
camera,library,on,enable library camera,library camera enabled
camera,library,on,power on library camera,library camera powered on
camera,library,on,switch on library camera,library camera switched on
camera,library,on,turn library camera on,library camera on
camera,library,on,activate library camera system,library camera system activated
camera,library,on,start library surveillance,surveillance started in the library.
camera,library,on,enable library monitoring,monitoring enabled
camera,living room,statusquery,show living room camera,living room camera status shown
camera,living room,statusquery,what's the living room camera status?,living room camera details retrieved
camera,living room,statusquery,living room camera check,status checked
camera,living room,statusquery,view living room camera,living room camera view active
camera,living room,statusquery,monitor living room camera,camera monitoring living room
camera,living room,statusquery,display living room camera,living room camera retrieved
camera,living room,on,turn on living room camera,living room camera turn on
camera,living room,on,activate living room camera,living room camera turned on
camera,living room,on,start living room camera,living room camera started
camera,living room,on,enable living room camera,living room camera enabled
camera,living room,on,power on living room camera,living room camera powered on
camera,living room,on,switch on living room camera,living room camera switched on
camera,living room,on,turn living room camera on,living room camera on
camera,living room,on,activate living room camera system,living room camera system activated
camera,living room,on,start living room surveillance,surveillance started in the living room.
camera,living room,on,enable living room monitoring,monitoring enabled
camera,none,statusquery,check camera system status,camera system status retrieved
camera,none,statusquery,show all cameras,all cameras status shown
camera,none,statusquery,what's the camera system status?,camera system details retrieved
camera,none,statusquery,camera system check,status checked
camera,none,statusquery,view all cameras,all cameras view active
camera,none,on,turn on camera system,camera system turn on
camera,none,on,activate all cameras,all cameras turned on
camera,none,on,start camera system,camera system started
camera,none,on,enable all cameras,all cameras enabled
camera,none,on,power on camera system,camera system powered on
camera,none,on,switch on all cameras,cameras switched on
camera,none,on,turn all cameras on,all cameras on
camera,outside,statusquery,check outside camera status,outside camera details retrieved.
camera,outside,statusquery,show outside camera,outside camera status shown
camera,outside,statusquery,what's the outside camera status?,outside camera details retrieved
camera,outside,on,turn on outside camera,outside camera turn on
camera,outside,on,activate outside camera,outside camera turned on
camera,outside,on,start outside camera,outside camera started
camera,outside,on,enable outside camera,outside camera enabled
camera,outside,on,power on outside camera,outside camera powered on
camera,outside,on,switch on outside camera,outside camera switched on
camera,outside,on,turn outside camera on,outside camera on
camera,outside,on,activate outside camera system,outside camera system activated
camera,toilet,on,turn on toilet camera,toilet camera turn on
camera,toilet,on,start toilet camera,toilet camera started
camera,toilet,on,enable toilet camera,toilet camera enabled
camera,toilet,on,power on toilet camera,toilet camera powered on
camera,toilet,on,switch on toilet camera,toilet camera switched on
camera,toilet,on,turn toilet camera on,toilet camera on
camera,toilet,on,activate toilet camera system,toilet camera system activated
lights,all,on,turn on all lights,all lights turned on
lights,all,on,activate all lights,all lights activated
lights,all,on,switch on all lights,all lights switched on
lights,all,on,enable all lights,all lights enabled
lights,all,on,power on all lights,all lights powered on
lights,all,on,start all lights,all lights started
lights,all,on,light up all rooms,all rooms lit
lights,all,on,turn all lights on,all lights on
lights,all,on,activate lighting system,lighting system activated
lights,all,on,enable all lighting,all lighting enabled
lights,all,on,switch on entire lighting,entire lighting switched on
lights,all,on,turn on whole house lights,whole house lights turned on
lights,all,on,activate all room lights,all room lights activated
lights,all,on,start all lighting,all lighting started
lights,all,on,enable house-wide lights,house-wide lights enabled
lights,all,on,power on all lighting,all lighting powered on
lights,all,on,switch on all house lights,all house lights switched on
lights,all,on,turn on every light,every light turned on
lights,all,on,activate entire lighting,entire lighting activated
lights,all,on,enable all home lights,all home lights enabled
lights,all,on,switch on all room lights,all room lights switched on
lights,all,on,turn on full lighting,full lighting turned on
lights,attic,off,turn off attic lights,attic lights turned off
lights,attic,off,switch off attic lights,attic lights switched off
lights,attic,off,deactivate attic lights,attic lights deactivated
lights,attic,off,power off attic lights,attic lights powered off
lights,attic,off,shut off attic lights,attic lights shut off
lights,attic,off,turn attic lights off,attic lights off
lights,attic,off,disable attic lighting,attic lighting disabled
lights,attic,off,stop attic lights,attic lights stopped
lights,attic,off,extinguish attic lights,attic lights extinguished
lights,attic,off,turn off attic lighting,attic lighting turned off
lights,attic,off,switch off attic lighting,attic lighting switched off
lights,attic,off,deactivate attic lighting,attic lighting deactivated
lights,attic,off,power off attic lighting,attic lighting powered off
lights,attic,off,shut off attic lighting,attic lighting shut off
lights,attic,off,disable attic lights,attic lights disabled
lights,attic,off,stop attic lighting,attic lighting stopped
lights,attic,off,extinguish attic lighting,attic lighting extinguished
lights,attic,off,turn off all attic lights,all attic lights turned off
lights,attic,off,switch off all attic lights,all attic lights switched off
lights,attic,off,deactivate all attic lights,all attic lights deactivated
lights,attic,on,turn on attic lights,attic lights turned on
lights,attic,on,activate attic lights,attic lights activated
lights,attic,on,switch on attic lights,attic lights switched on
lights,attic,on,enable attic lights,attic lights enabled
lights,attic,on,power on attic lights,attic lights powered on
lights,attic,on,start attic lights,attic lights started
lights,attic,on,light up attic,attic light turning on.
lights,attic,on,turn attic lights on,attic lights on
lights,attic,on,activate attic lighting,attic lighting activated
lights,attic,on,enable attic lighting,attic lighting enabled
lights,attic,on,switch on attic lighting,attic lighting switched on
lights,attic,on,turn on attic lighting,attic lighting turned on
lights,attic,on,activate all attic lights,all attic lights activated
lights,attic,on,switch on all attic lights,all attic lights switched on
lights,attic,on,enable all attic lights,all attic lights enabled
lights,attic,on,power on all attic lights,all attic lights powered on
lights,basement,off,turn off basement lights,basement lights turned off
lights,basement,off,switch off basement lights,basement lights switched off
lights,basement,off,deactivate basement lights,basement lights deactivated
lights,basement,off,power off basement lights,basement lights powered off
lights,basement,off,shut off basement lights,basement lights shut off
lights,basement,off,turn basement lights off,basement lights off
lights,basement,off,disable basement lighting,basement lighting disabled
lights,basement,off,stop basement lights,basement lights stopped
lights,basement,off,extinguish basement lights,basement lights extinguished
lights,basement,off,turn off basement lighting,basement lighting turned off
lights,basement,off,switch off basement lighting,basement lighting switched off
lights,basement,off,deactivate basement lighting,basement lighting deactivated
lights,basement,off,power off basement lighting,basement lighting powered off
lights,basement,off,shut off basement lighting,basement lighting shut off
lights,basement,off,disable basement lights,basement lights disabled
lights,basement,off,stop basement lighting,basement lighting stopped
lights,basement,off,extinguish basement lighting,basement lighting extinguished
lights,basement,off,turn off all basement lights,all basement lights turned off
lights,basement,off,switch off all basement lights,all basement lights switched off
lights,basement,on,turn on basement lights,basement lights turned on
lights,basement,on,activate basement lights,basement lights activated
lights,basement,on,switch on basement lights,basement lights switched on
lights,basement,on,enable basement lights,basement lights enabled
lights,basement,on,power on basement lights,basement lights powered on
lights,basement,on,start basement lights,basement lights started
lights,basement,on,light up basement,basement lit up
lights,basement,on,turn basement lights on,basement lights on
lights,basement,on,activate basement lighting,basement lighting activated
lights,basement,on,enable basement lighting,basement lighting enabled
lights,basement,on,switch on basement lighting,basement lighting switched on
lights,basement,on,turn on basement lighting,basement lighting turned on
lights,basement,on,activate all basement lights,all basement lights activated
lights,basement,on,switch on all basement lights,all basement lights switched on
lights,basement,on,enable all basement lights,all basement lights enabled
lights,basement,on,power on all basement lights,all basement lights powered on
lights,basement,on,start all basement lights,all basement lights started
lights,basement,on,light up all basement,all basement lit up
lights,basement,on,turn on all basement lights,all basement lights on
lights,basement,on,activate entire basement lighting,entire basement lighting activated
lights,bathroom,off,turn off bathroom lights,bathroom lights turned off
lights,bathroom,off,switch off bathroom lights,bathroom lights switched off
lights,bathroom,off,deactivate bathroom lights,bathroom lights deactivated
lights,bathroom,off,power off bathroom lights,bathroom lights powered off
lights,bathroom,off,shut off bathroom lights,bathroom lights shut off
lights,bathroom,off,turn bathroom lights off,bathroom lights off
lights,bathroom,off,disable bathroom lighting,bathroom lighting disabled
lights,bathroom,off,stop bathroom lights,bathroom lights stopped
lights,bathroom,off,extinguish bathroom lights,bathroom lights extinguished
lights,bathroom,off,turn off bathroom lighting,bathroom lighting turned off
lights,bathroom,off,switch off bathroom lighting,bathroom lighting switched off
lights,bathroom,off,deactivate bathroom lighting,bathroom lighting deactivated
lights,bathroom,off,power off bathroom lighting,bathroom lighting powered off
lights,bathroom,off,shut off bathroom lighting,bathroom lighting shut off
lights,bathroom,off,disable bathroom lights,bathroom lights disabled
lights,bathroom,off,stop bathroom lighting,bathroom lighting stopped
lights,bathroom,off,extinguish bathroom lighting,bathroom lighting extinguished
lights,bathroom,off,turn off all bathroom lights,all bathroom lights turned off
lights,bathroom,off,switch off all bathroom lights,all bathroom lights switched off
lights,bathroom,off,deactivate all bathroom lights,all bathroom lights deactivated
lights,bathroom,off,power off all bathroom lights,all bathroom lights powered off
lights,bathroom,off,shut off all bathroom lights,all bathroom lights shut off
lights,bathroom,on,turn on bathroom lights,bathroom lights turned on
lights,bathroom,on,activate bathroom lights,bathroom lights activated
lights,bathroom,on,switch on bathroom lights,bathroom lights switched on
lights,bathroom,on,enable bathroom lights,bathroom lights enabled
lights,bathroom,on,power on bathroom lights,bathroom lights powered on
lights,bathroom,on,start bathroom lights,bathroom lights started
lights,bathroom,on,light up bathroom,bathroom lit up
lights,bathroom,on,turn bathroom lights on,bathroom lights on
lights,bathroom,on,activate bathroom lighting,bathroom lighting activated
lights,bathroom,on,enable bathroom lighting,bathroom lighting enabled
lights,bathroom,on,switch on bathroom lighting,bathroom lighting switched on
lights,bathroom,on,turn on bathroom lighting,bathroom lighting turned on
lights,bathroom,on,activate all bathroom lights,all bathroom lights activated
lights,bathroom,on,switch on all bathroom lights,all bathroom lights switched on
lights,bathroom,on,enable all bathroom lights,all bathroom lights enabled
lights,bathroom,on,power on all bathroom lights,all bathroom lights powered on
lights,cellar,off,turn off cellar lights,cellar lights turned off
lights,cellar,off,switch off cellar lights,cellar lights switched off
lights,cellar,off,deactivate cellar lights,cellar lights deactivated
lights,cellar,off,power off cellar lights,cellar lights powered off
lights,cellar,off,shut off cellar lights,cellar lights shut off
lights,cellar,off,turn cellar lights off,cellar lights off
lights,cellar,off,disable cellar lighting,cellar lighting disabled
lights,cellar,off,stop cellar lights,cellar lights stopped
lights,cellar,off,extinguish cellar lights,cellar lights extinguished
lights,cellar,off,turn off cellar lighting,cellar lighting turned off
lights,cellar,off,switch off cellar lighting,cellar lighting switched off
lights,cellar,off,deactivate cellar lighting,cellar lighting deactivated
lights,cellar,off,power off cellar lighting,cellar lighting powered off
lights,cellar,off,shut off cellar lighting,cellar lighting shut off
lights,cellar,off,disable cellar lights,cellar lights disabled
lights,cellar,off,stop cellar lighting,cellar lighting stopped
lights,cellar,off,extinguish cellar lighting,cellar lighting extinguished
lights,cellar,off,turn off all cellar lights,all cellar lights turned off
lights,cellar,off,switch off all cellar lights,all cellar lights switched off
lights,cellar,on,turn on cellar lights,cellar lights turned on
lights,cellar,on,activate cellar lights,cellar lights activated
lights,cellar,on,switch on cellar lights,cellar lights switched on
lights,cellar,on,enable cellar lights,cellar lights enabled
lights,cellar,on,power on cellar lights,cellar lights powered on
lights,cellar,on,start cellar lights,cellar lights started
lights,cellar,on,light up cellar,cellar lit up
lights,cellar,on,turn cellar lights on,cellar lights on
lights,cellar,on,activate cellar lighting,cellar lighting activated
lights,cellar,on,enable cellar lighting,cellar lighting enabled
lights,cellar,on,switch on cellar lighting,cellar lighting switched on
lights,cellar,on,turn on cellar lighting,cellar lighting turned on
lights,cellar,on,activate all cellar lights,all cellar lights activated
lights,cellar,on,switch on all cellar lights,all cellar lights switched on
lights,cellar,on,enable all cellar lights,all cellar lights enabled
lights,cellar,on,power on all cellar lights,all cellar lights powered on
lights,cellar,on,start all cellar lights,all cellar lights started
lights,cellar,on,light up all cellar,all cellar lit up
lights,cellar,on,turn on all cellar lights,all cellar lights on
lights,cellar,on,activate entire cellar lighting,entire cellar lighting activated
lights,dining room,statusquery,check dining room lights status,dining room lights status retrieved
lights,dining room,statusquery,show dining room lights,dining room lights status shown
lights,dining room,statusquery,what's the dining room lights status?,dining room lights details retrieved
lights,dining room,statusquery,dining room lights check,status checked
lights,dining room,statusquery,view dining room lights,dining room lights view active
lights,dining room,statusquery,monitor dining room lights,lights monitored
lights,dining room,statusquery,display dining room lights,dining room lights retrieved
lights,dining room,statusquery,check dining room lighting,lights checked
lights,dining room,statusquery,show dining room lighting,dining room lighting shown
lights,dining room,statusquery,dining room lights status check,lights status checked.
lights,dining room,statusquery,view dining room lighting,lighting view active
lights,dining room,statusquery,monitor dining room lighting,lighting monitored
lights,dining room,statusquery,check dining room lights feed,feed checked
lights,dining room,statusquery,show dining room lights feed,lights feed shown
lights,dining room,statusquery,dining room lighting status check,status retrieved
lights,dining room,statusquery,view dining room lights status,lights status view active
lights,dining room,statusquery,monitor dining room lights status,lights status monitored
lights,dining room,statusquery,display dining room lights status,lights status retrieved
lights,dining room,statusquery,check dining room lighting status,lighting status checked
lights,dining room,statusquery,show dining room lighting status,dining room lighting status shown
lights,dining room,statusquery,dining room lights check status,status checked.
lights,dining room,statusquery,verify dining room lights status,dining room lights status verified
lights,dining room,off,turn off dining room lights,dining room lights turned off
lights,dining room,off,switch off dining room lights,dining room lights switched off
lights,dining room,off,deactivate dining room lights,dining room lights deactivated
lights,dining room,off,power off dining room lights,dining room lights powered off
lights,dining room,off,shut off dining room lights,dining room lights shut off
lights,dining room,off,turn dining room lights off,dining room lights off
lights,dining room,off,disable dining room lighting,dining room lighting disabled
lights,dining room,off,stop dining room lights,dining room lights stopped
lights,dining room,off,extinguish dining room lights,dining room lights extinguished
lights,dining room,off,turn off dining room lighting,dining room lighting turned off
lights,dining room,off,switch off dining room lighting,dining room lighting switched off
lights,dining room,off,deactivate dining room lighting,dining room lighting deactivated
lights,dining room,off,power off dining room lighting,dining room lighting powered off
