Sentence,Response
View kitchen camera,Kitchen camera view active
Monitor kitchen camera,Camera monitored
Display kitchen camera,Kitchen camera displayed
Turn on kitchen camera,Kitchen camera activated
Activate kitchen camera,Kitchen camera turned on
Start kitchen camera,Kitchen camera started
Enable kitchen camera,Kitchen camera enabled
Power on kitchen camera,Kitchen camera powered on
Switch on kitchen camera,Kitchen camera switched on
Turn kitchen camera on,Kitchen camera on
Activate kitchen camera system,Kitchen camera system activated
Check library camera status,Library camera status retrieved
Show library camera,Library camera status shown
What's the library camera status?,Library camera details displayed
Library camera check,Status checked
View library camera,Library camera view active
Monitor library camera,library Camera monitoring
Display library camera,Library camera displaying
Check library camera feed,library camera Feed checking
Show library camera feed,Library feed camera showning
Library camera status check,Status retrieved
Turn on library camera,Library camera activated
Activate library camera,Library camera turned on
Start library camera,Library camera started
Enable library camera,Library camera enabled
Power on library camera,Library camera powered on
Switch on library camera,Library camera switched on
Turn library camera on,Library camera on
Activate library camera system,Library camera system activated
Start library surveillance,Surveillance started in the library.
Enable library monitoring,Monitoring enabled
Show living room camera,Living room camera status shown
What's the living room camera status?,Living room camera details displayed
Living room camera check,Status checked
View living room camera,Living room camera view active
Monitor living room camera,Camera monitoring living room
Display living room camera,Living room camera displayed
Turn on living room camera,Living room camera activated
Activate living room camera,Living room camera turned on
Start living room camera,Living room camera started
Enable living room camera,Living room camera enabled
Power on living room camera,Living room camera powered on
Switch on living room camera,Living room camera switched on
Turn living room camera on,Living room camera on
Activate living room camera system,Living room camera system activated
Start living room surveillance,Surveillance started in the living room.
Enable living room monitoring,Monitoring enabled
Check camera system status,Camera system status retrieved
Show all cameras,All cameras status shown
What's the camera system status?,Camera system details displayed
Camera system check,Status checked
View all cameras,All cameras view active
Turn on camera system,Camera system activated
Activate all cameras,All cameras turned on
Start camera system,Camera system started
Enable all cameras,All cameras enabled
Power on camera system,Camera system powered on
Switch on all cameras,Cameras switched on
Turn all cameras on,All cameras on
Check outside camera status,Outside camera status retrieved
Show outside camera,Outside camera status shown
What's the outside camera status?,Outside camera details displayed
Turn on outside camera,Outside camera activated
Activate outside camera,Outside camera turned on
Start outside camera,Outside camera started
Enable outside camera,Outside camera enabled
Power on outside camera,Outside camera powered on
Switch on outside camera,Outside camera switched on
Turn outside camera on,Outside camera on
Activate outside camera system,Outside camera system activated
Turn on toilet camera,Toilet camera activated
Start toilet camera,Toilet camera started
Enable toilet camera,Toilet camera enabled
Power on toilet camera,Toilet camera powered on
Switch on toilet camera,Toilet camera switched on
Turn toilet camera on,Toilet camera on
Activate toilet camera system,Toilet camera system activated
Turn on all lights,All lights turned on
Activate all lights,All lights activated
Switch on all lights,All lights switched on
Enable all lights,All lights enabled
Power on all lights,All lights powered on
Start all lights,All lights started
Light up all rooms,All rooms lit
Turn all lights on,All lights on
Activate lighting system,Lighting system activated
Enable all lighting,All lighting enabled
Switch on entire lighting,Entire lighting switched on
Turn on whole house lights,Whole house lights turned on
Activate all room lights,All room lights activated
Start all lighting,All lighting started
Enable house-wide lights,House-wide lights enabled
Power on all lighting,All lighting powered on
Switch on all house lights,All house lights switched on
Turn on every light,Every light turned on
Activate entire lighting,Entire lighting activated
Enable all home lights,All home lights enabled
Switch on all room lights,All room lights switched on
Turn on full lighting,Full lighting turned on
Turn off attic lights,Attic lights turned off
Switch off attic lights,Attic lights switched off
Deactivate attic lights,Attic lights deactivated
Power off attic lights,Attic lights powered off
Shut off attic lights,Attic lights shut off
Turn attic lights off,Attic lights off
Disable attic lighting,Attic lighting disabled
Stop attic lights,Attic lights stopped
Extinguish attic lights,Attic lights extinguished
Turn off attic lighting,Attic lighting turned off
Switch off attic lighting,Attic lighting switched off
Deactivate attic lighting,Attic lighting deactivated
Power off attic lighting,Attic lighting powered off
Shut off attic lighting,Attic lighting shut off
Disable attic lights,Attic lights disabled
Stop attic lighting,Attic lighting stopped
Extinguish attic lighting,Attic lighting extinguished
Turn off all attic lights,All attic lights turned off
Switch off all attic lights,All attic lights switched off
Deactivate all attic lights,All attic lights deactivated
Turn on attic lights,Attic lights turned on
Activate attic lights,Attic lights activated
Switch on attic lights,Attic lights switched on
Enable attic lights,Attic lights enabled
Power on attic lights,Attic lights powered on
Start attic lights,Attic lights started
Light up attic,Attic lit up
Turn attic lights on,Attic lights on
Activate attic lighting,Attic lighting activated
Enable attic lighting,Attic lighting enabled
Switch on attic lighting,Attic lighting switched on
Turn on attic lighting,Attic lighting turned on
Activate all attic lights,All attic lights activated
Switch on all attic lights,All attic lights switched on
Enable all attic lights,All attic lights enabled
Power on all attic lights,All attic lights powered on
Turn off basement lights,Basement lights turned off
Switch off basement lights,Basement lights switched off
Deactivate basement lights,Basement lights deactivated
Power off basement lights,Basement lights powered off
Shut off basement lights,Basement lights shut off
Turn basement lights off,Basement lights off
Disable basement lighting,Basement lighting disabled
Stop basement lights,Basement lights stopped
Extinguish basement lights,Basement lights extinguished
Turn off basement lighting,Basement lighting turned off
Switch off basement lighting,Basement lighting switched off
Deactivate basement lighting,Basement lighting deactivated
Power off basement lighting,Basement lighting powered off
Shut off basement lighting,Basement lighting shut off
Disable basement lights,Basement lights disabled
Stop basement lighting,Basement lighting stopped
Extinguish basement lighting,Basement lighting extinguished
Turn off all basement lights,All basement lights turned off
Switch off all basement lights,All basement lights switched off
Turn on basement lights,Basement lights turned on
Activate basement lights,Basement lights activated
Switch on basement lights,Basement lights switched on
Enable basement lights,Basement lights enabled
Power on basement lights,Basement lights powered on
Start basement lights,Basement lights started
Light up basement,Basement lit up
Turn basement lights on,Basement lights on
Activate basement lighting,Basement lighting activated
Enable basement lighting,Basement lighting enabled
Switch on basement lighting,Basement lighting switched on
Turn on basement lighting,Basement lighting turned on
Activate all basement lights,All basement lights activated
Switch on all basement lights,All basement lights switched on
Enable all basement lights,All basement lights enabled
Power on all basement lights,All basement lights powered on
Start all basement lights,All basement lights started
Light up all basement,All basement lit up
Turn on all basement lights,All basement lights on
Activate entire basement lighting,Entire basement lighting activated
Turn off bathroom lights,Bathroom lights turned off
Switch off bathroom lights,Bathroom lights switched off
Deactivate bathroom lights,Bathroom lights deactivated
Power off bathroom lights,Bathroom lights powered off
Shut off bathroom lights,Bathroom lights shut off
Turn bathroom lights off,Bathroom lights off
Disable bathroom lighting,Bathroom lighting disabled
Stop bathroom lights,Bathroom lights stopped
Extinguish bathroom lights,Bathroom lights extinguished
Turn off bathroom lighting,Bathroom lighting turned off
Switch off bathroom lighting,Bathroom lighting switched off
Deactivate bathroom lighting,Bathroom lighting deactivated
Power off bathroom lighting,Bathroom lighting powered off
Shut off bathroom lighting,Bathroom lighting shut off
Disable bathroom lights,Bathroom lights disabled
Stop bathroom lighting,Bathroom lighting stopped
Extinguish bathroom lighting,Bathroom lighting extinguished
Turn off all bathroom lights,All bathroom lights turned off
Switch off all bathroom lights,All bathroom lights switched off
Deactivate all bathroom lights,All bathroom lights deactivated
Power off all bathroom lights,All bathroom lights powered off
Shut off all bathroom lights,All bathroom lights shut off
Turn on bathroom lights,Bathroom lights turned on
Activate bathroom lights,Bathroom lights activated
Switch on bathroom lights,Bathroom lights switched on
Enable bathroom lights,Bathroom lights enabled
Power on bathroom lights,Bathroom lights powered on
Start bathroom lights,Bathroom lights started
Light up bathroom,Bathroom lit up
Turn bathroom lights on,Bathroom lights on
Activate bathroom lighting,Bathroom lighting activated
Enable bathroom lighting,Bathroom lighting enabled
Switch on bathroom lighting,Bathroom lighting switched on
Turn on bathroom lighting,Bathroom lighting turned on
Activate all bathroom lights,All bathroom lights activated
Switch on all bathroom lights,All bathroom lights switched on
Enable all bathroom lights,All bathroom lights enabled
Power on all bathroom lights,All bathroom lights powered on
Turn off cellar lights,Cellar lights turned off
Switch off cellar lights,Cellar lights switched off
Deactivate cellar lights,Cellar lights deactivated
Power off cellar lights,Cellar lights powered off
Shut off cellar lights,Cellar lights shut off
Turn cellar lights off,Cellar lights off
Disable cellar lighting,Cellar lighting disabled
Stop cellar lights,Cellar lights stopped
Extinguish cellar lights,Cellar lights extinguished
Turn off cellar lighting,Cellar lighting turned off
Switch off cellar lighting,Cellar lighting switched off
Deactivate cellar lighting,Cellar lighting deactivated
Power off cellar lighting,Cellar lighting powered off
Shut off cellar lighting,Cellar lighting shut off
Disable cellar lights,Cellar lights disabled
Stop cellar lighting,Cellar lighting stopped
Extinguish cellar lighting,Cellar lighting extinguished
Turn off all cellar lights,All cellar lights turned off
Switch off all cellar lights,All cellar lights switched off
Turn on cellar lights,Cellar lights turned on
Activate cellar lights,Cellar lights activated
Switch on cellar lights,Cellar lights switched on
Enable cellar lights,Cellar lights enabled
Power on cellar lights,Cellar lights powered on
Start cellar lights,Cellar lights started
Light up cellar,Cellar lit up
Turn cellar lights on,Cellar lights on
Activate cellar lighting,Cellar lighting activated
Enable cellar lighting,Cellar lighting enabled
Switch on cellar lighting,Cellar lighting switched on
Turn on cellar lighting,Cellar lighting turned on
Activate all cellar lights,All cellar lights activated
Switch on all cellar lights,All cellar lights switched on
Enable all cellar lights,All cellar lights enabled
Power on all cellar lights,All cellar lights powered on
Start all cellar lights,All cellar lights started
Light up all cellar,All cellar lit up
Turn on all cellar lights,All cellar lights on
Activate entire cellar lighting,Entire cellar lighting activated
Check dining room lights status,Dining room lights status retrieved
Show dining room lights,Dining room lights status shown
What's the dining room lights status?,Dining room lights details displayed
Dining room lights check,Status checked
View dining room lights,Dining room lights view active
Monitor dining room lights,Lights monitored
Display dining room lights,Dining room lights displayed
Check dining room lighting,Lights checked
Show dining room lighting,Dining room lighting shown
Dining room lights status check,Lights status checked.
View dining room lighting,Lighting view active
Monitor dining room lighting,Lighting monitored
Display dining room lighting,Dining room lighting displayed
Check dining room lights feed,Feed checked
Show dining room lights feed,Lights feed shown
Dining room lighting status check,Status retrieved
View dining room lights status,Lights status view active
Monitor dining room lights status,Lights status monitored
Display dining room lights status,Lights status displayed
Check dining room lighting status,Lighting status checked
Show dining room lighting status,Dining room lighting status shown
Dining room lights check status,Status checked.
Verify dining room lights status,Dining room lights status verified
Turn off dining room lights,Dining room lights turned off
Switch off dining room lights,Dining room lights switched off
Deactivate dining room lights,Dining room lights deactivated
Power off dining room lights,Dining room lights powered off
Shut off dining room lights,Dining room lights shut off
Turn dining room lights off,Dining room lights off
Disable dining room lighting,Dining room lighting disabled
Stop dining room lights,Dining room lights stopped
Extinguish dining room lights,Dining room lights extinguished
Turn off dining room lighting,Dining room lighting turned off
Switch off dining room lighting,Dining room lighting switched off
Deactivate dining room lighting,Dining room lighting deactivated
Power off dining room lighting,Dining room lighting powered off
Shut off dining room lighting,Dining room lighting shut off
Disable dining room lights,Dining room lights disabled
Stop dining room lighting,Dining room lighting stopped
Extinguish dining room lighting,Dining room lighting extinguished
Turn off all dining room lights,All dining room lights turned off
Turn on dining room lights,Dining room lights turned on
Activate dining room lights,Dining room lights activated
Switch on dining room lights,Dining room lights switched on
Enable dining room lights,Dining room lights enabled
Power on dining room lights,Dining room lights powered on
Start dining room lights,Dining room lights started
Light up dining room,Dining room lit up
Turn dining room lights on,Dining room lights on
Activate dining room lighting,Dining room lighting activated
Enable dining room lighting,Dining room lighting enabled
Switch on dining room lighting,Dining room lighting switched on
Turn on dining room lighting,Dining room lighting turned on
Activate all dining room lights,All dining room lights activated
Switch on all dining room lights,All dining room lights switched on
Enable all dining room lights,All dining room lights enabled
Power on all dining room lights,All dining room lights powered on
Check kitchen lights status,Kitchen lights status retrieved
Show kitchen lights,Kitchen lights status shown
What's the kitchen lights status?,Kitchen lights details displayed
Kitchen lights check,Status checked
View kitchen lights,Kitchen lights view active
Monitor kitchen lights,Lights monitored
Display kitchen lights,Kitchen lights displayed
Check kitchen lighting,Lights checked
Show kitchen lighting,Kitchen lighting shown
Kitchen lights status check,Status retrieved
View kitchen lighting,Lighting view active
Monitor kitchen lighting,Lighting monitored
Display kitchen lighting,Kitchen lighting displayed
Check kitchen lights feed,Feed checked
Show kitchen lights feed,Lights feed shown
Kitchen lighting status check,Status retrieved
View kitchen lights status,Lights status view active
Monitor kitchen lights status,Lights status monitored
Display kitchen lights status,Lights status displayed
Check kitchen lighting status,Lighting status checked
Show kitchen lighting status,Kitchen lighting status shown
Kitchen lights check status,Kitchen lights Status checking
Turn off kitchen lights,Kitchen lights turned off
Switch off kitchen lights,Kitchen lights switched off
Deactivate kitchen lights,Kitchen lights deactivated
Power off kitchen lights,Kitchen lights powered off
Shut off kitchen lights,Kitchen lights shut off
Turn kitchen lights off,Kitchen lights off
Disable kitchen lighting,Kitchen lighting disabled
Stop kitchen lights,Kitchen lights stopped
Extinguish kitchen lights,Kitchen lights extinguished
Turn off kitchen lighting,Kitchen lighting turned off
Switch off kitchen lighting,Kitchen lighting switched off
Deactivate kitchen lighting,Kitchen lighting deactivated
Power off kitchen lighting,Kitchen lighting powered off
Shut off kitchen lighting,Kitchen lighting shut off
Disable kitchen lights,Kitchen lights disabled
Stop kitchen lighting,Kitchen lighting stopped
Extinguish kitchen lighting,Kitchen lighting extinguished
Turn off all kitchen lights,All kitchen lights turned off
Turn on kitchen lights,Kitchen lights turned on
Activate kitchen lights,Kitchen lights activated
Switch on kitchen lights,Kitchen lights switched on
Enable kitchen lights,Kitchen lights enabled
Power on kitchen lights,Kitchen lights powered on
Start kitchen lights,Kitchen lights started
Light up kitchen,Kitchen lit up
Turn kitchen lights on,Kitchen lights on
Activate kitchen lighting,Kitchen lighting activated
Enable kitchen lighting,Kitchen lighting enabled
Switch on kitchen lighting,Kitchen lighting switched on
Turn on kitchen lighting,Kitchen lighting turned on
Activate all kitchen lights,All kitchen lights activated
Switch on all kitchen lights,All kitchen lights switched on
Enable all kitchen lights,All kitchen lights enabled
Power on all kitchen lights,All kitchen lights powered on
Turn off library lights,Library lights turned off
Switch off library lights,Library lights switched off
Deactivate library lights,Library lights deactivated
Power off library lights,Library lights powered off
Shut off library lights,Library lights shut off
Turn library lights off,Library lights off
Disable library lighting,Library lighting disabled
Stop library lights,Library lights stopped
Extinguish library lights,Library lights extinguished
Turn off library lighting,Library lighting turned off
Switch off library lighting,Library lighting switched off
Deactivate library lighting,Library lighting deactivated
Power off library lighting,Library lighting powered off
Shut off library lighting,Library lighting shut off
Disable library lights,Library lights disabled
Stop library lighting,Library lighting stopped
Extinguish library lighting,Library lighting extinguished
Turn off all library lights,All library lights turned off
Switch off all library lights,All library lights switched off
Deactivate all library lights,All library lights deactivated
Turn on library lights,Library lights turned on
Activate library lights,Library lights activated
Switch on library lights,Library lights switched on
Enable library lights,Library lights enabled
Power on library lights,Library lights powered on
Start library lights,Library lights started
Light up library,Library lit up
Turn library lights on,Library lights on
Activate library lighting,Library lighting activated
Enable library lighting,Library lighting enabled
Switch on library lighting,Library lighting switched on
Turn on library lighting,Library lighting turned on
Activate all library lights,All library lights activated
Switch on all library lights,All library lights switched on
Enable all library lights,All library lights enabled
Power on all library lights,All library lights powered on
Start all library lights,All library lights started
Light up all library,All library lit up
Turn on all library lights,All library lights on
Activate entire library lighting,Entire library lighting activated
Turn off living room lights,Living room lights turned off
Switch off living room lights,Living room lights switched off
Deactivate living room lights,Living room lights deactivated
Power off living room lights,Living room lights powered off
Shut off living room lights,Living room lights shut off
Turn living room lights off,Living room lights off
Disable living room lighting,Living room lighting disabled
Stop living room lights,Living room lights stopped
Extinguish living room lights,Living room lights extinguished
Turn off living room lighting,Living room lighting turned off
Switch off living room lighting,Living room lighting switched off
Deactivate living room lighting,Living room lighting deactivated
Power off living room lighting,Living room lighting powered off
Shut off living room lighting,Living room lighting shut off
Disable living room lights,Living room lights disabled
Stop living room lighting,Living room lighting stopped
Extinguish living room lighting,Living room lighting extinguished
Turn off all living room lights,All living room lights turned off
Switch off all living room lights,All living room lights switched off
Deactivate all living room lights,All living room lights deactivated
Power off all living room lights,All living room lights powered off
Shut off all living room lights,All living room lights shut off
Turn on living room lights,Living room lights turned on
Activate living room lights,Living room lights activated
Switch on living room lights,Living room lights switched on
Enable living room lights,Living room lights enabled
Power on living room lights,Living room lights powered on
Start living room lights,Living room lights started
Light up living room,Living room lit up
Turn living room lights on,Living room lights on
Activate living room lighting,Living room lighting activated
Enable living room lighting,Living room lighting enabled
Switch on living room lighting,Living room lighting switched on
Turn on living room lighting,Living room lighting turned on
Activate all living room lights,All living room lights activated
Switch on all living room lights,All living room lights switched on
Enable all living room lights,All living room lights enabled
Power on all living room lights,All living room lights powered on
Start all living room lights,All living room lights started
Light up all living room,All living room lit up
Turn on all living room lights,All living room lights on
Activate entire living room lighting,Entire living room lighting activated
Check lights status,Lights status retrieved
Show all lights,All lights status shown
What's the lights status?,Lights details displayed
Lights system check,Status checked
View all lights,Lights view active
Monitor lights system,Lights monitored
Display lights system,Lights system displayed
Check lighting status,Lighting status checked
Show lighting status,Lights status shown
Lights status check,Status retrieved
View lights status,Lights status view active
Monitor lighting status,Lighting status monitored
Display lighting status,Lights status displayed
Check lights system status,System status checked
Show lights system status,System status shown
Lights system status check,Status retrieved
View lights system,Lights system view active
Turn off all lights,All lights turned off
Switch off all lights,All lights switched off
Deactivate all lights,All lights deactivated
Power off all lights,All lights powered off
Shut off all lights,All lights shut off
Turn all lights off,All lights off
Disable all lighting,All lighting disabled
Stop all lights,All lights stopped
Extinguish all lights,All lights extinguished
Turn off entire lighting,Entire lighting turned off
Switch off entire lighting,Entire lighting switched off
Deactivate entire lighting,Entire lighting deactivated
Power off entire lighting,Entire lighting powered off
Shut off entire lighting,Entire lighting shut off
Disable all lights,All lights disabled
Stop all lighting,All lighting stopped
Extinguish entire lighting,Entire lighting extinguished
Turn off all house lights,All house lights turned off
Switch off all house lights,All house lights switched off
Deactivate all house lights,All house lights deactivated
Turn off random lights,Random lights turned off
Switch off random lights,Random lights switched off
Deactivate random lights,Random lights deactivated
Power off random lights,Random lights powered off
Shut off random lights,Random lights shut off
Turn random lights off,Random lights off
Disable random lighting,Random lighting disabled
Stop random lights,Random lights stopped
Extinguish random lights,Random lights extinguished
Turn off random lighting,Random lighting turned off
Switch off random lighting,Random lighting switched off
Deactivate random lighting,Random lighting deactivated
Power off random lighting,Random lighting powered off
Shut off random lighting,Random lighting shut off
Disable random lights,Random lights disabled
Stop random lighting,Random lighting stopped
Extinguish random lighting,Random lighting extinguished
Turn off all random lights,All random lights turned off
Switch off all random lights,All random lights switched off
Deactivate all random lights,All random lights deactivated
Power off all random lights,All random lights powered off
Shut off all random lights,All random lights shut off
Turn on random lights,Random lights turned on
Activate random lights,Random lights activated
Switch on random lights,Random lights switched on
Enable random lights,Random lights enabled
Power on random lights,Random lights powered on
Start random lights,Random lights started
Light up random areas,Random areas lit up
Turn random lights on,Random lights on
Activate random lighting,Random lighting activated
Enable random lighting,Random lighting enabled
Switch on random lighting,Random lighting switched on
Turn on random lighting,Random lighting turned on
Activate all random lights,All random lights activated
Switch on all random lights,All random lights switched on
Enable all random lights,All random lights enabled
Power on all random lights,All random lights powered on
Start all random lights,All random lights started
Turn on all random lights,All random lights on
Activate entire random lighting,Entire random lighting activated
Enable all random lighting,All random lighting enabled
Turn off toilet lights,Toilet lights turned off
Switch off toilet lights,Toilet lights switched off
