Category,Subcategory,Action,Sentence,Response
music,playback,resume,Start music again,music resumed.
music,playback,skip,Skip to next track,Next track playing
music,playback,skip,Play next song,Next song started
music,playback,skip,Go to next track,Track skipped
music,playback,stop,Stop music playback,music stopped
music,playback,stop,Turn off music,music turned off
music,playback,stop,Halt music playback,Playback halted
music,playbackspeed,adjustspeed,Change music speed,Speed adjusted
music,playbackspeed,adjustspeed,Set playback speed,Playback speed updated
music,playbackspeed,adjustspeed,modify music tempo,Tempo changed
music,playbackspeed,check,Check playback speed,Current speed retrieved
music,playbackspeed,check,What's the music speed?,Playback speed retrieved
music,playbackspeed,check,Show playback speed,Speed information shown
music,playbackspeed,resetspeed,Reset music speed,Speed reset to default
music,playbackspeed,resetspeed,Set speed to normal,Playback speed normalized
music,playbackspeed,resetspeed,Restore default speed,Default speed restored
music,playlist,addsong,Add song to playlist,Song added
music,playlist,addsong,Put song in playlist,Playlist updated with song
music,playlist,check,Check current playlist,Playlist details retrieved
music,playlist,check,Show playlist contents,Playlist shown
music,playlist,create,Create new playlist,New playlist created
music,playlist,create,Start a new playlist,Playlist started
music,playlist,create,make a playlist,Playlist created
music,playlist,delete,Delete playlist,Playlist removed
music,playlist,delete,Remove playlist,Playlist deleted
music,playlist,delete,Erase playlist,Playlist erased
music,playlist,removesong,Remove song from playlist,Song removed from playlist.
music,playlist,removesong,Delete song from playlist,Song deleted from playlist
music,playlist,removesong,Take song off playlist,Song removed from playlist
music,playlist,reorder,Reorder playlist songs,Playlist reordered
music,playlist,reorder,Change playlist order,Playlist order updated
music,playlist,reorder,Shuffle playlist songs,Playlist rearranged
music,playlist,selectplaylist,Select a playlist,Playlist selected
music,playlist,selectplaylist,Choose playlist,Playlist chosen
music,playlist,selectplaylist,Switch to playlist,Switched to playlist
music,playlist,shuffle,Shuffle playlist,Playlist shuffled
music,playlist,shuffle,Randomize playlist,Playlist randomized
music,playlist,shuffle,mix playlist songs,Playlist mixed
music,podcast,play,Play podcast,Podcast playing
music,podcast,play,Start podcast,Podcast started
music,podcast,play,Listen to podcast,Podcast playback active
music,podcast,skip,Next podcast episode,Podcast skipped
music,podcast,skip,Go to next podcast,Next podcast started
music,power,turnoff,Turn off music system,music system turned off
music,power,turnoff,Shut down music device,music device off
music,power,turnoff,Power off music,music system turned off
music,power,turnon,Turn on music system,music System powered on.
music,power,turnon,Start music device,music device on
music,power,turnon,Power on music,music system activated
music,queue,add,Add song to queue,Song added to queue
music,queue,add,Queue this song,Song queued
music,queue,add,Put song in queue,Queue updated
music,queue,check,Show queue status,Queue shown
music,queue,clear,Clear music queue,Queue cleared
music,queue,clear,Empty queue,Queue emptied
music,queue,clear,Remove all from queue,Queue reset
music,radio,play,Play radio,Radio playing
music,radio,play,Start radio station,Radio started
music,schedule,cancel,Cancel music schedule,Schedule canceled
music,schedule,cancel,Stop scheduled music,Scheduled music stopped
music,schedule,cancel,Remove music schedule,Schedule removed
music,schedule,check,Check music schedule,Schedule details retrieved
music,schedule,check,Show music schedule,Schedule shown
music,schedule,check,What's the music schedule?,Schedule retrieved
music,schedule,play,Play scheduled music,music schedule started
music,schedule,play,Start music schedule,Schedule activated
music,schedule,stop,Stop scheduled music,Scheduled music stopped
music,schedule,stop,Halt music schedule,Schedule halted
music,schedule,stop,End music schedule,Schedule ended
music,sleeptimer,check,Check sleep timer status,Sleep timer details shown
music,sleeptimer,check,What's the sleep timer?,Sleep timer status retrieved
music,sleeptimer,check,Show sleep timer,Sleep timer retrieved
music,sleeptimer,set,Set sleep timer,Sleep timer set
music,sleeptimer,set,Activate sleep timer,Sleep timer activated
music,song,check,Check current song,Song details retrieved
music,song,check,What's the current song?,Song information shown
music,song,play,Play this song,Song playing
music,song,play,Start this song,Song started
music,source,check,Check music source,Source details retrieved
music,source,check,What's the current source?,Source information shown
music,source,check,Show music source,Source retrieved
music,source,switchsource,Switch music source,Source switched
music,source,switchsource,Change music source,Source changed
music,status,check,Check music status,music status retrieved
music,status,check,Show music system status,Status shown
music,voicecontrol,check,Check voice control status,Voice control is active
music,voicecontrol,check,Is voice control on?,Voice control status: on
music,voicecontrol,check,Show voice control settings,Voice control settings retrieved
music,voicecontrol,disable,Disable voice control,Voice control disabled
music,voicecontrol,disable,Turn off voice control,Voice control turned off
music,voicecontrol,disable,Stop voice control,Voice control stopped
music,voicecontrol,enable,Enable voice control,Voice control enabled
music,voicecontrol,enable,Turn on voice control,Voice control activated
music,voicecontrol,enable,Start voice control,Voice control started
music,volume,adjustvolume,Adjust music volume,Volume adjusted
music,volume,check,Check volume level,Volume level retrieved
music,volume,check,What's the volume?,Volume status shown
music,volume,check,Show volume level,Volume retrieved
music,volume,mute,mute music,music muted
music,volume,mute,Turn off sound,Sound muted
music,volume,mute,Silence music,music is turned off.
music,volume,unmute,Unmute music,music unmuted
music,volume,unmute,Restore sound,Sound restored
music,volume,unmute,Turn sound back on,music sound on
camera,all,on,Turn on all cameras,All cameras activated
camera,all,on,Activate all cameras,All cameras turned on
camera,all,on,Start all cameras,Cameras started
camera,all,on,Enable all cameras,All cameras enabled
camera,all,on,Power on all cameras,All cameras powered on
camera,all,on,Switch on all cameras,Cameras switched on
camera,all,on,Turn all cameras on,All cameras on
camera,all,on,Activate camera system,Camera system activated
,attic,statusquery,Check attic camera status,Attic camera status retrieved
camera,attic,statusquery,Show attic camera,Attic camera status shown
camera,attic,statusquery,What's the attic camera status?,Attic camera details retrieved
camera,attic,statusquery,Attic camera check,Status checked
camera,attic,statusquery,View attic camera,Attic camera view active
camera,attic,statusquery,monitor attic camera,Camera monitored
camera,attic,statusquery,Display attic camera,Attic camera retrieved
camera,attic,statusquery,Check attic camera feed,Feed checked
camera,attic,statusquery,Show attic camera feed,Attic feed shown
camera,attic,statusquery,Attic camera status check,Status retrieved
camera,attic,on,Turn on attic camera,Attic camera activated
camera,attic,on,Activate attic camera,Attic camera turned on
camera,attic,on,Start attic camera,Attic camera started
camera,attic,on,Enable attic camera,Attic camera enabled
camera,attic,on,Power on attic camera,Attic camera powered on
camera,attic,on,Switch on attic camera,Attic camera switched on
camera,attic,on,Turn attic camera on,Attic camera on
camera,attic,on,Activate attic camera system,Attic camera system activated
camera,attic,on,Start attic surveillance,Surveillance started
camera,attic,on,Enable attic monitoring,monitoring enabled
camera,backyard,statusquery,Check backyard camera status,Backyard camera status retrieved
camera,backyard,statusquery,Show backyard camera,Backyard camera status shown
camera,backyard,statusquery,What's the backyard camera status?,Backyard camera details retrieved
camera,backyard,statusquery,Backyard camera check,Status checked
camera,backyard,statusquery,View backyard camera,Backyard camera view active
camera,backyard,statusquery,monitor backyard camera,Camera monitored
camera,backyard,on,Turn on backyard camera,Backyard camera activated
camera,backyard,on,Activate backyard camera,Backyard camera turned on
camera,backyard,on,Start backyard camera,Backyard camera started
camera,backyard,on,Enable backyard camera,Backyard camera enabled
camera,backyard,on,Power on backyard camera,Backyard camera powered on
camera,backyard,on,Switch on backyard camera,Backyard camera switched on
camera,backyard,on,Turn backcamerayard camera on,Backyard camera on
camera,backyard,on,Activate backyard camera system,Backyard camera system activated
camera,backyard,on,Start backyard surveillance,Surveillance started
camera,basement,statusquery,Check basement camera status,Basement camera status retrieved
camera,basement,statusquery,Show basement camera,Basement camera status shown
camera,basement,statusquery,What's the basement camera status?,Basement camera details retrieved
camera,basement,statusquery,Basement camera check,Status checked
camera,basement,statusquery,View basement camera,Basement camera view active
camera,basement,statusquery,monitor basement camera,Basement camera monitoring.
camera,basement,statusquery,Display basement camera,Basement camera retrieved
camera,basement,statusquery,Check basement camera feed,Feed checked
camera,basement,statusquery,Show basement camera feed,Basement feed shown
camera,basement,statusquery,Basement camera status check,Status retrieved
camera,basement,on,Turn on bathroom basement camera,bathroom Basement camera activated
camera,basement,on,Activate basement camera,Basement camera turned on
camera,basement,on,Start basement camera,Basement camera started
camera,basement,on,Enable basement camera,Basement camera enabled
camera,basement,on,Power on basement camera,Basement camera powered on
camera,basement,on,Switch on basement camera,Basement camera switched on
camera,bathroom,statusquery,Check bathroom camera status,Bathroom camera status retrieved
camera,bathroom,statusquery,Show bathroom camera,Bathroom camera status shown
camera,bathroom,statusquery,What's the bathroom camera status?,Bathroom camera details retrieved
camera,bathroom,statusquery,Bathroom camera check,Status checked
camera,bathroom,statusquery,View bathroom camera,Bathroom camera view active
camera,bathroom,statusquery,monitor bathroom camera,Camera monitored
camera,bathroom,statusquery,Display bathroom camera,Bathroom camera retrieved
camera,bathroom,statusquery,Check bathroom camera feed,Feed checked
camera,bathroom,statusquery,Show bathroom camera feed,Bathroom feed shown
camera,bathroom,on,turn on bathroom camera,bathroom camera activated.
camera,bathroom,on,Activate bathroom camera,Bathroom camera turned on
camera,bathroom,on,Start bathroom camera,Bathroom camera started
camera,bathroom,on,Enable bathroom camera,Bathroom camera enabled
camera,bathroom,on,Power on bathroom camera,Bathroom camera powered on
camera,bathroom,on,Switch on bathroom camera,Bathroom camera switched on
camera,bathroom,on,Turn bathroom camera on,Bathroom camera on
camera,bathroom,on,Activate bathroom camera system,Bathroom camera system activated
camera,bathroom,on,Start bathroom surveillance,Surveillance started
camera,bathroom,on,Enable bathroom monitoring,monitoring enabled
camera,cellar,statusquery,Check cellar camera status,Cellar camera status retrieved
camera,cellar,statusquery,Show cellar camera,Cellar camera status shown
camera,cellar,statusquery,What's the cellar camera status?,Cellar camera details retrieved
camera,cellar,statusquery,Cellar camera check,Status checked
camera,cellar,statusquery,View cellar camera,Cellar camera view active
camera,cellar,statusquery,monitor cellar camera,Camera monitored
camera,cellar,statusquery,Display cellar camera,Cellar camera retrieved
camera,cellar,statusquery,Check cellar camera feed,Cellar feed status retrieved.
camera,cellar,statusquery,Show cellar camera feed,Cellar feed shown
camera,cellar,on,Turn on cellar camera,Cellar camera activated
camera,cellar,on,Activate cellar camera,Cellar camera turned on
camera,cellar,on,Start cellar camera,Cellar camera started
camera,cellar,on,Enable cellar camera,Cellar camera enabled
camera,cellar,on,Power on cellar camera,Cellar camera powered on
camera,cellar,on,Switch on cellar camera,Cellar camera switched on
camera,cellar,on,Turn cellar camera on,Cellar camera on
camera,cellar,on,Activate cellar camera system,Cellar camera system activated
camera,cellar,on,Start cellar surveillance,Surveillance started
camera,dining room,statusquery,Check dining room camera status,Dining room camera status retrieved
camera,dining room,statusquery,Show dining room camera,Dining room camera status shown
camera,dining room,statusquery,What's the dining room camera status?,Dining room camera details retrieved
camera,dining room,statusquery,Dining room camera check,Status checked
camera,dining room,statusquery,View dining room camera,Dining room camera view active
camera,dining room,statusquery,monitor dining room camera,Camera monitored
camera,dining room,statusquery,Display dining room camera,Dining room camera retrieved
camera,dining room,statusquery,Check dining room camera feed,Feed checked
camera,dining room,statusquery,Show dining room camera feed,Dining room feed shown
camera,dining room,statusquery,Dining room camera status check,Status retrieved
camera,dining room,statusquery,View dining room surveillance,Surveillance view active
camera,kitchen,statusquery,Check kitchen camera status,Kitchen camera status retrieved
camera,kitchen,statusquery,Show kitchen camera,Kitchen camera status shown
camera,kitchen,statusquery,What's the kitchen camera status?,Kitchen camera details retrieved
camera,kitchen,statusquery,Kitchen camera check,Status checked
camera,kitchen,statusquery,View kitchen camera,Kitchen camera view active
camera,kitchen,statusquery,monitor kitchen camera,Camera monitored
camera,kitchen,statusquery,Display kitchen camera,Kitchen camera retrieved
camera,kitchen,on,Turn on kitchen camera,Kitchen camera activated
camera,kitchen,on,Activate kitchen camera,Kitchen camera turned on
camera,kitchen,on,Start kitchen camera,Kitchen camera started
camera,kitchen,on,Enable kitchen camera,Kitchen camera enabled
camera,kitchen,on,Power on kitchen camera,Kitchen camera powered on
camera,kitchen,on,Switch on kitchen camera,Kitchen camera switched on
camera,kitchen,on,Turn kitchen camera on,Kitchen camera on
camera,kitchen,on,Activate kitchen camera system,Kitchen camera system activated
camera,library,statusquery,Check library camera status,Library camera status retrieved
camera,library,statusquery,Show library camera,Library camera status shown
camera,library,statusquery,What's the library camera status?,Library camera details retrieved
camera,library,statusquery,Library camera check,Status checked
camera,library,statusquery,View library camera,Library camera view active
camera,library,statusquery,monitor library camera,library Camera monitoring
camera,library,statusquery,Display library camera,Library camera displaying
camera,library,statusquery,Check library camera feed,library camera Feed checking
camera,library,statusquery,Show library camera feed,Library feed camera showning
camera,library,statusquery,Library camera status check,Status retrieved
camera,library,on,Turn on library camera,Library camera activated
camera,library,on,Activate library camera,Library camera turned on
camera,library,on,Start library camera,Library camera started
camera,library,on,Enable library camera,Library camera enabled
camera,library,on,Power on library camera,Library camera powered on
camera,library,on,Switch on library camera,Library camera switched on
camera,library,on,Turn library camera on,Library camera on
camera,library,on,Activate library camera system,Library camera system activated
camera,library,on,Start library surveillance,Surveillance started in the library.
camera,library,on,Enable library monitoring,monitoring enabled
camera,living room,statusquery,Show living room camera,Living room camera status shown
camera,living room,statusquery,What's the living room camera status?,Living room camera details retrieved
camera,living room,statusquery,Living room camera check,Status checked
camera,living room,statusquery,View living room camera,Living room camera view active
camera,living room,statusquery,monitor living room camera,Camera monitoring living room
camera,living room,statusquery,Display living room camera,Living room camera retrieved
camera,living room,on,Turn on living room camera,Living room camera activated
camera,living room,on,Activate living room camera,Living room camera turned on
camera,living room,on,Start living room camera,Living room camera started
camera,living room,on,Enable living room camera,Living room camera enabled
camera,living room,on,Power on living room camera,Living room camera powered on
camera,living room,on,Switch on living room camera,Living room camera switched on
camera,living room,on,Turn living room camera on,Living room camera on
camera,living room,on,Activate living room camera system,Living room camera system activated
camera,living room,on,Start living room surveillance,Surveillance started in the living room.
camera,living room,on,Enable living room monitoring,monitoring enabled
camera,none,statusquery,Check camera system status,Camera system status retrieved
camera,none,statusquery,Show all cameras,All cameras status shown
camera,none,statusquery,What's the camera system status?,Camera system details retrieved
camera,none,statusquery,Camera system check,Status checked
camera,none,statusquery,View all cameras,All cameras view active
camera,none,on,Turn on camera system,Camera system activated
camera,none,on,Activate all cameras,All cameras turned on
camera,none,on,Start camera system,Camera system started
camera,none,on,Enable all cameras,All cameras enabled
camera,none,on,Power on camera system,Camera system powered on
camera,none,on,Switch on all cameras,Cameras switched on
camera,none,on,Turn all cameras on,All cameras on
camera,outside,statusquery,Check outside camera status,Outside camera details retrieved.
camera,outside,statusquery,Show outside camera,Outside camera status shown
camera,outside,statusquery,What's the outside camera status?,Outside camera details retrieved
camera,outside,on,Turn on outside camera,Outside camera activated
camera,outside,on,Activate outside camera,Outside camera turned on
camera,outside,on,Start outside camera,Outside camera started
camera,outside,on,Enable outside camera,Outside camera enabled
camera,outside,on,Power on outside camera,Outside camera powered on
camera,outside,on,Switch on outside camera,Outside camera switched on
camera,outside,on,Turn outside camera on,Outside camera on
camera,outside,on,Activate outside camera system,Outside camera system activated
camera,toilet,on,Turn on toilet camera,Toilet camera activated
camera,toilet,on,Start toilet camera,Toilet camera started
camera,toilet,on,Enable toilet camera,Toilet camera enabled
camera,toilet,on,Power on toilet camera,Toilet camera powered on
camera,toilet,on,Switch on toilet camera,Toilet camera switched on
camera,toilet,on,Turn toilet camera on,Toilet camera on
camera,toilet,on,Activate toilet camera system,Toilet camera system activated
lights,all,on,Turn on all lights,All lights turned on
lights,all,on,Activate all lights,All lights activated
lights,all,on,Switch on all lights,All lights switched on
lights,all,on,Enable all lights,All lights enabled
lights,all,on,Power on all lights,All lights powered on
lights,all,on,Start all lights,All lights started
lights,all,on,Light up all rooms,All rooms lit
lights,all,on,Turn all lights on,All lights on
lights,all,on,Activate lighting system,Lighting system activated
lights,all,on,Enable all lighting,All lighting enabled
lights,all,on,Switch on entire lighting,Entire lighting switched on
lights,all,on,Turn on whole house lights,Whole house lights turned on
lights,all,on,Activate all room lights,All room lights activated
lights,all,on,Start all lighting,All lighting started
lights,all,on,Enable house-wide lights,House-wide lights enabled
lights,all,on,Power on all lighting,All lighting powered on
lights,all,on,Switch on all house lights,All house lights switched on
lights,all,on,Turn on every light,Every light turned on
lights,all,on,Activate entire lighting,Entire lighting activated
lights,all,on,Enable all home lights,All home lights enabled
lights,all,on,Switch on all room lights,All room lights switched on
lights,all,on,Turn on full lighting,Full lighting turned on
lights,attic,off,Turn off attic lights,Attic lights turned off
lights,attic,off,Switch off attic lights,Attic lights switched off
lights,attic,off,Deactivate attic lights,Attic lights deactivated
lights,attic,off,Power off attic lights,Attic lights powered off
lights,attic,off,Shut off attic lights,Attic lights shut off
lights,attic,off,Turn attic lights off,Attic lights off
lights,attic,off,Disable attic lighting,Attic lighting disabled
lights,attic,off,Stop attic lights,Attic lights stopped
lights,attic,off,Extinguish attic lights,Attic lights extinguished
lights,attic,off,Turn off attic lighting,Attic lighting turned off
lights,attic,off,Switch off attic lighting,Attic lighting switched off
lights,attic,off,Deactivate attic lighting,Attic lighting deactivated
lights,attic,off,Power off attic lighting,Attic lighting powered off
lights,attic,off,Shut off attic lighting,Attic lighting shut off
lights,attic,off,Disable attic lights,Attic lights disabled
lights,attic,off,Stop attic lighting,Attic lighting stopped
lights,attic,off,Extinguish attic lighting,Attic lighting extinguished
lights,attic,off,Turn off all attic lights,All attic lights turned off
lights,attic,off,Switch off all attic lights,All attic lights switched off
lights,attic,off,Deactivate all attic lights,All attic lights deactivated
lights,attic,on,Turn on attic lights,Attic lights turned on
lights,attic,on,Activate attic lights,Attic lights activated
lights,attic,on,Switch on attic lights,Attic lights switched on
lights,attic,on,Enable attic lights,Attic lights enabled
lights,attic,on,Power on attic lights,Attic lights powered on
lights,attic,on,Start attic lights,Attic lights started
lights,attic,on,Light up attic,Attic lit up
lights,attic,on,Turn attic lights on,Attic lights on
lights,attic,on,Activate attic lighting,Attic lighting activated
lights,attic,on,Enable attic lighting,Attic lighting enabled
lights,attic,on,Switch on attic lighting,Attic lighting switched on
lights,attic,on,Turn on attic lighting,Attic lighting turned on
lights,attic,on,Activate all attic lights,All attic lights activated
lights,attic,on,Switch on all attic lights,All attic lights switched on
lights,attic,on,Enable all attic lights,All attic lights enabled
lights,attic,on,Power on all attic lights,All attic lights powered on
lights,basement,off,Turn off basement lights,Basement lights turned off
lights,basement,off,Switch off basement lights,Basement lights switched off
lights,basement,off,Deactivate basement lights,Basement lights deactivated
lights,basement,off,Power off basement lights,Basement lights powered off
lights,basement,off,Shut off basement lights,Basement lights shut off
lights,basement,off,Turn basement lights off,Basement lights off
lights,basement,off,Disable basement lighting,Basement lighting disabled
lights,basement,off,Stop basement lights,Basement lights stopped
lights,basement,off,Extinguish basement lights,Basement lights extinguished
lights,basement,off,Turn off basement lighting,Basement lighting turned off
lights,basement,off,Switch off basement lighting,Basement lighting switched off
lights,basement,off,Deactivate basement lighting,Basement lighting deactivated
lights,basement,off,Power off basement lighting,Basement lighting powered off
lights,basement,off,Shut off basement lighting,Basement lighting shut off
lights,basement,off,Disable basement lights,Basement lights disabled
lights,basement,off,Stop basement lighting,Basement lighting stopped
lights,basement,off,Extinguish basement lighting,Basement lighting extinguished
lights,basement,off,Turn off all basement lights,All basement lights turned off
lights,basement,off,Switch off all basement lights,All basement lights switched off
lights,basement,on,Turn on basement lights,Basement lights turned on
lights,basement,on,Activate basement lights,Basement lights activated
lights,basement,on,Switch on basement lights,Basement lights switched on
lights,basement,on,Enable basement lights,Basement lights enabled
lights,basement,on,Power on basement lights,Basement lights powered on
lights,basement,on,Start basement lights,Basement lights started
lights,basement,on,Light up basement,Basement lit up
lights,basement,on,Turn basement lights on,Basement lights on
lights,basement,on,Activate basement lighting,Basement lighting activated
lights,basement,on,Enable basement lighting,Basement lighting enabled
lights,basement,on,Switch on basement lighting,Basement lighting switched on
lights,basement,on,Turn on basement lighting,Basement lighting turned on
lights,basement,on,Activate all basement lights,All basement lights activated
lights,basement,on,Switch on all basement lights,All basement lights switched on
lights,basement,on,Enable all basement lights,All basement lights enabled
lights,basement,on,Power on all basement lights,All basement lights powered on
lights,basement,on,Start all basement lights,All basement lights started
lights,basement,on,Light up all basement,All basement lit up
lights,basement,on,Turn on all basement lights,All basement lights on
lights,basement,on,Activate entire basement lighting,Entire basement lighting activated
lights,bathroom,off,Turn off bathroom lights,Bathroom lights turned off
lights,bathroom,off,Switch off bathroom lights,Bathroom lights switched off
lights,bathroom,off,Deactivate bathroom lights,Bathroom lights deactivated
lights,bathroom,off,Power off bathroom lights,Bathroom lights powered off
lights,bathroom,off,Shut off bathroom lights,Bathroom lights shut off
lights,bathroom,off,Turn bathroom lights off,Bathroom lights off
lights,bathroom,off,Disable bathroom lighting,Bathroom lighting disabled
lights,bathroom,off,Stop bathroom lights,Bathroom lights stopped
lights,bathroom,off,Extinguish bathroom lights,Bathroom lights extinguished
lights,bathroom,off,Turn off bathroom lighting,Bathroom lighting turned off
lights,bathroom,off,Switch off bathroom lighting,Bathroom lighting switched off
lights,bathroom,off,Deactivate bathroom lighting,Bathroom lighting deactivated
lights,bathroom,off,Power off bathroom lighting,Bathroom lighting powered off
lights,bathroom,off,Shut off bathroom lighting,Bathroom lighting shut off
lights,bathroom,off,Disable bathroom lights,Bathroom lights disabled
lights,bathroom,off,Stop bathroom lighting,Bathroom lighting stopped
lights,bathroom,off,Extinguish bathroom lighting,Bathroom lighting extinguished
lights,bathroom,off,Turn off all bathroom lights,All bathroom lights turned off
lights,bathroom,off,Switch off all bathroom lights,All bathroom lights switched off
lights,bathroom,off,Deactivate all bathroom lights,All bathroom lights deactivated
lights,bathroom,off,Power off all bathroom lights,All bathroom lights powered off
lights,bathroom,off,Shut off all bathroom lights,All bathroom lights shut off
lights,bathroom,on,Turn on bathroom lights,Bathroom lights turned on
lights,bathroom,on,Activate bathroom lights,Bathroom lights activated
lights,bathroom,on,Switch on bathroom lights,Bathroom lights switched on
lights,bathroom,on,Enable bathroom lights,Bathroom lights enabled
lights,bathroom,on,Power on bathroom lights,Bathroom lights powered on
lights,bathroom,on,Start bathroom lights,Bathroom lights started
lights,bathroom,on,Light up bathroom,Bathroom lit up
lights,bathroom,on,Turn bathroom lights on,Bathroom lights on
lights,bathroom,on,Activate bathroom lighting,Bathroom lighting activated
lights,bathroom,on,Enable bathroom lighting,Bathroom lighting enabled
lights,bathroom,on,Switch on bathroom lighting,Bathroom lighting switched on
lights,bathroom,on,Turn on bathroom lighting,Bathroom lighting turned on
lights,bathroom,on,Activate all bathroom lights,All bathroom lights activated
lights,bathroom,on,Switch on all bathroom lights,All bathroom lights switched on
lights,bathroom,on,Enable all bathroom lights,All bathroom lights enabled
lights,bathroom,on,Power on all bathroom lights,All bathroom lights powered on
lights,cellar,off,Turn off cellar lights,Cellar lights turned off
lights,cellar,off,Switch off cellar lights,Cellar lights switched off
lights,cellar,off,Deactivate cellar lights,Cellar lights deactivated
lights,cellar,off,Power off cellar lights,Cellar lights powered off
lights,cellar,off,Shut off cellar lights,Cellar lights shut off
lights,cellar,off,Turn cellar lights off,Cellar lights off
lights,cellar,off,Disable cellar lighting,Cellar lighting disabled
lights,cellar,off,Stop cellar lights,Cellar lights stopped
lights,cellar,off,Extinguish cellar lights,Cellar lights extinguished
lights,cellar,off,Turn off cellar lighting,Cellar lighting turned off
lights,cellar,off,Switch off cellar lighting,Cellar lighting switched off
lights,cellar,off,Deactivate cellar lighting,Cellar lighting deactivated
lights,cellar,off,Power off cellar lighting,Cellar lighting powered off
lights,cellar,off,Shut off cellar lighting,Cellar lighting shut off
lights,cellar,off,Disable cellar lights,Cellar lights disabled
lights,cellar,off,Stop cellar lighting,Cellar lighting stopped
lights,cellar,off,Extinguish cellar lighting,Cellar lighting extinguished
lights,cellar,off,Turn off all cellar lights,All cellar lights turned off
lights,cellar,off,Switch off all cellar lights,All cellar lights switched off
lights,cellar,on,Turn on cellar lights,Cellar lights turned on
lights,cellar,on,Activate cellar lights,Cellar lights activated
lights,cellar,on,Switch on cellar lights,Cellar lights switched on
lights,cellar,on,Enable cellar lights,Cellar lights enabled
lights,cellar,on,Power on cellar lights,Cellar lights powered on
lights,cellar,on,Start cellar lights,Cellar lights started
lights,cellar,on,Light up cellar,Cellar lit up
lights,cellar,on,Turn cellar lights on,Cellar lights on
lights,cellar,on,Activate cellar lighting,Cellar lighting activated
lights,cellar,on,Enable cellar lighting,Cellar lighting enabled
lights,cellar,on,Switch on cellar lighting,Cellar lighting switched on
lights,cellar,on,Turn on cellar lighting,Cellar lighting turned on
lights,cellar,on,Activate all cellar lights,All cellar lights activated
lights,cellar,on,Switch on all cellar lights,All cellar lights switched on
lights,cellar,on,Enable all cellar lights,All cellar lights enabled
lights,cellar,on,Power on all cellar lights,All cellar lights powered on
lights,cellar,on,Start all cellar lights,All cellar lights started
lights,cellar,on,Light up all cellar,All cellar lit up
lights,cellar,on,Turn on all cellar lights,All cellar lights on
lights,cellar,on,Activate entire cellar lighting,Entire cellar lighting activated
lights,dining room,statusquery,Check dining room lights status,Dining room lights status retrieved
